regiao,ano,mes,avg_temp_ar,p50_temp_ar,p25_temp_ar,p75_temp_ar
South,2009,10,18.587088205068543,18.2,15.1,21.8
South,2009,11,22.59123472558477,22.1,19.8,25.1
South,2009,12,22.536953876783542,22.5,19.8,25.3
South,2010,1,23.19473643500793,23.1,20.5,25.7
South,2010,2,24.06009276719336,23.8,21.1,26.8
South,2010,3,22.06586473337785,21.9,19.1,24.8
South,2010,4,18.889554306677596,18.8,15.6,22
South,2010,5,15.53918547055586,15.5,12.7,18.3
South,2010,6,14.497910916059336,14.6,11.2,17.7
South,2010,7,14.20016764620869,14.4,10.4,18
South,2010,8,14.532178683084949,14.5,9.8,18.7
South,2010,9,16.99660877406202,16.9,13.9,19.6
South,2010,10,17.449288831273165,17.4,14.3,20.5
South,2010,11,19.84535406131925,19.8,16.4,23.2
South,2010,12,21.869609620389483,21.7,18.9,24.8
South,2011,1,23.592432738497507,23.3,20.8,26.2
South,2011,2,22.817908934185173,22.7,20.4,25.1
South,2011,3,21.206260559759055,21.1,18.4,23.9
South,2011,4,19.247109376502028,19.1,16.4,22.1
South,2011,5,15.552273501820595,15.6,12.4,18.6
South,2011,6,13.205301466794428,13.4,9.6,16.9
South,2011,7,13.72539776731076,14.1,10.3,17.4
South,2011,8,14.65563738125046,14.7,10.7,18.3
South,2011,9,16.337264263110722,15.9,12.7,19.5
South,2011,10,18.776654415028677,18.5,15.7,21.6
South,2011,11,20.23388177500045,20,16.9,23.5
South,2011,12,21.494606691090063,21.2,18.2,24.6
South,2012,1,22.686428608919293,22.4,19.4,25.7
South,2012,2,23.898954041881016,23.5,20.7,26.8
South,2012,3,21.517103212602564,21.5,17.9,25.1
South,2012,4,18.849782657155597,18.9,15.4,22.3
South,2012,5,16.837716506991864,17,13.8,19.9
South,2012,6,14.378142495030728,14.6,11.1,17.8
South,2012,7,13.175800504227622,13.1,9.2,16.9
South,2012,8,17.690978645851242,17.7,14.2,21.1
South,2012,9,17.86884518678161,17.7,14.1,21.4
South,2012,10,19.993481052193225,19.6,16.9,22.7
South,2012,11,21.657314069078776,21.5,18.4,24.8
South,2012,12,23.51088993370315,23,20.3,26.4
South,2013,1,22.0578181509466,22,18.9,25.1
South,2013,2,22.38955428310537,22.2,19.6,25
South,2013,3,20.211972190442665,20.1,17.2,23
South,2013,4,18.72750554799914,19,15.5,22.1
South,2013,5,16.039077375800588,16.2,12.9,19.2
South,2013,6,14.550711942612018,14.5,12,17.1
South,2013,7,13.57173460751816,13.9,9.6,17.6
South,2013,8,13.882962545761757,13.5,9.3,18
South,2013,9,16.744553261202224,16.2,13,20.1
South,2013,10,18.6353518904036,18.5,15.6,21.6
South,2013,11,20.944437891377127,20.7,17.9,23.9
South,2013,12,23.208861402914263,22.9,20,26.4
South,2014,1,24.01277139865781,23.6,20.7,27.1
South,2014,2,23.90990476190476,23.4,20.4,27
South,2014,3,21.27678045607067,21.2,18.4,24.1
South,2014,4,19.46841516866893,19.5,16.5,22.5
South,2014,5,16.18092137042669,16.3,13,19.4
South,2014,6,15.134766960948063,15.4,12.5,18.1
South,2014,7,14.670864065562087,14.9,11.5,17.9
South,2014,8,16.20817727622109,16.1,12.5,19.9
South,2014,9,18.09832947828322,17.7,15.1,20.6
South,2014,10,20.834418142456613,20.3,17.4,24
South,2014,11,21.538606011487367,21.3,18.6,24.4
South,2014,12,22.428033901149615,22.3,19.7,25.1
South,2015,1,23.425133313387654,23.1,20.3,26.3
South,2015,2,22.735577903238458,22.5,19.9,25.5
South,2015,3,21.86021100625597,21.7,18.8,24.8
South,2015,4,19.544664611499034,19.5,16.4,22.6
South,2015,5,16.784416891284817,16.9,13.9,19.7
South,2015,6,15.196035381750466,15.3,11.8,18.6
South,2015,7,14.890686671575846,14.9,12.1,17.5
South,2015,8,18.62972929451969,18.3,15.4,21.7
South,2015,9,17.676082801330327,17.4,14.1,20.8
South,2015,10,19.09092728253493,18.6,15.8,21.8
South,2015,11,20.11646671582999,20,17.5,22.6
South,2015,12,22.319199366531763,22,19.7,24.8
South,2016,1,23.621418549431574,23.3,20.8,26.3
South,2016,2,23.736516972785846,23.4,21,26.3
South,2016,3,21.125443797240138,20.8,18.2,23.9
South,2016,4,21.26993479880775,21.9,18.6,25.2
South,2016,5,14.554678677317622,14.8,12,17.4
South,2016,6,11.583276650417565,11.9,8.3,14.9
South,2016,7,13.963072158245067,14,10,17.8
South,2016,8,15.314142156862744,15,11.8,18.5
South,2016,9,15.844886071887034,15.3,12,19.3
South,2016,10,18.5081351670423,18.4,15.2,21.4
South,2016,11,20.267978981536533,20.2,16.9,23.6
South,2016,12,22.20751902774368,22,19.3,25.1
South,2017,1,23.098245725848855,22.8,20.3,25.9
South,2017,2,23.55720205929604,23.2,20.6,26.3
South,2017,3,21.49017928776095,21.4,18.6,24.5
South,2017,4,18.51557110236603,18.8,15.7,21.7
South,2017,5,17.252535672661985,17.1,14.6,19.8
South,2017,6,15.01835044431024,15.1,11.7,18.4
South,2017,7,15.096238163409629,15.5,11.4,19
South,2017,8,16.419585044794463,16.2,12.8,19.7
South,2017,9,19.90127382129628,19.2,16.1,23.1
South,2017,10,18.876348318158826,18.6,15.8,21.7
South,2017,11,19.76817379691897,19.5,16.3,23
South,2017,12,22.54653259047878,22.2,19.5,25.4
South,2018,1,22.444303937705747,22.2,19.7,25
South,2018,2,21.772477309129737,21.5,18.6,24.8
South,2018,3,21.874138528411237,21.6,18.9,24.7
South,2018,4,21.226486268825,20.9,18.1,24.2
South,2018,5,17.04779910830563,17.4,13.7,20.5
South,2018,6,13.545418949403803,13.6,9.8,17.1
South,2018,7,14.650479279395,14.4,10.8,18.2
South,2018,8,13.552272950256729,13.4,9.8,16.9
South,2018,9,17.81367640319761,17.4,14.7,20.6
