regiao;estado;idade;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021
NE;PE;15-19;815548;824679;825943;830928;837168;840710;839146;834110;820863;805212;789930;776364;763735
NE;PE;20-24;824743;828717;823270;815848;808119;802719;801138;802912;808369;815056;819051;817972;813435
NE;PE;25-29;822092;790259;794621;798244;800548;800616;797998;793284;786592;779567;774829;773857;776198
NE;PE;30-34;721746;726818;737895;747311;755219;761994;767816;772679;776803;779606;780180;778075;773878
NE;PE;35-39;632097;643852;656071;669906;684549;698687;711464;722846;732577;740811;747911;754062;759251
NE;PE;40-44;562202;584927;594445;602741;610714;619726;630587;643026;657050;671863;686170;699133;710713
NE;PE;45-49;491878;509014;522300;535265;547707;559341;570063;579825;588388;596624;605874;616927;629518
NE;PE;50-54;398676;422337;435607;449487;463678;477781;491520;504904;517984;530557;542335;553216;563160
NE;PE;55-59;326737;347420;356445;366694;378012;390104;402752;415988;429818;443956;458013;471720;485080
NE;PE;60-64;264116;292540;299507;305351;310838;317143;324964;334031;344232;355434;367366;379837;392863
NE;PE;65-69;198827;222681;229491;238216;247899;257116;265086;272091;278102;283798;290235;298034;306967
NE;PE;70-74;155527;176621;179963;181990;183760;186761;191771;198425;206731;215866;224585;232220;239016
NE;PE;75-79;99887;114012;118282;124220;130780;136589;141005;144390;146749;148915;152096;156904;163054
NE;PE;80-84;66046;78528;77764;77153;77190;78439;81062;84853;89839;95261;100111;103921;106979
NE;PE;85-89;32291;41480;44262;45623;46186;46359;46419;46520;46701;47273;48604;50793;53716
NE;PE;90;15159;24857;23317;23389;24212;25280;26310;27311;28324;29288;30177;30992;31817
NE;AL;0-4;329796;292449;285962;280637;274805;269849;266605;262295;258215;255804;253816;251860;250897
NE;AL;5-9;345648;320086;313055;305173;298706;292963;286257;279910;274724;269021;264190;261064;256875
NE;AL;10-14;334533;342792;340628;336207;329721;321598;313824;306915;299146;292794;287165;280570;274334
NE;AL;15-19;311506;317276;320743;325224;329709;332668;333171;331169;326933;320644;312722;305150;298435
NE;AL;20-24;298570;294028;293054;292785;293367;295023;297809;301551;306303;311057;314307;315125;313459
NE;AL;25-29;294689;275727;275805;275243;274256;273157;272144;271546;271637;272561;274544;277643;281692
NE;AL;30-34;251376;249846;253816;256882;259097;260618;261553;261879;261573;260852;260015;259260;258913
NE;AL;35-39;210499;214814;219149;224544;230497;236174;241041;245116;248302;250650;252315;253408;253893
NE;AL;40-44;186654;195731;198599;200456;201942;204061;207419;211817;217253;223240;228962;233882;238035
NE;AL;45-49;158509;163855;168906;174307;179674;184421;188233;191172;193128;194724;196938;200367;204806
NE;AL;50-54;129165;135488;139212;143173;147385;151876;156628;161644;167005;172337;177074;180904;183892
NE;AL;55-59;106363;113074;115912;118677;121497;124550;127944;131625;135535;139692;144117;148805;153752
NE;AL;60-64;81520;90226;93113;96058;99018;101932;104780;107569;110298;113078;116084;119410;123006
NE;AL;65-69;61363;68492;70713;73111;75655;78294;81002;83775;86611;89469;92288;95047;97755
NE;AL;70-74;44766;50064;51599;53120;54690;56405;58304;60372;62601;64960;67415;69942;72533
NE;AL;75-79;29600;32992;34096;35392;36803;38222;39601;40972;42341;43764;45307;47000;48840
NE;AL;80-84;17646;20641;20943;21305;21770;22389;23173;24103;25173;26331;27495;28631;29766
NE;AL;85-89;8619;10270;10850;11274;11608;11894;12166;12454;12789;13189;13683;14282;14976
